seg_id,code_v6,v6_evidence,v6_confidence,v6_flag
V9-02868,SYS.design,"do not hold the customer's funds, they do not create the financial risk",0.78,
V9-02874,ACCESS.universal,"payment in a situation where both parties, the payer and the payee, are not connected",0.82,
V9-02878,SYS.design,creation/deletion of new/existing digital shekels by the Bank of Israel,0.91,
V9-02879,SYS.design,transfer of digital shekels from one wallet to another wallet,0.85,
V9-02880,SYS.design,digital shekel could be used by both the general public and financial entities,0.8,
V9-02887,INTEROP.domestic,interoperability with other payment systems as well as with other digital asset networks,0.87,
V9-02888,OPS.resilience,ensuring redundancy and proper functioning in emergencies or failures,0.95,
V9-02891,ACCESS.universal,DS is accessible to every resident (individual or corporation) in Israel,0.95,
V9-02895,INTEROP.domestic,convertible at a 1:1 ratio to any other form of shekel,0.95,
V9-02897,INTEROP.domestic,"interoperable with other payment systems, allowing users to receive or pay in digital shekel",0.93,
V9-02910,SYS.design,hold multiple digital shekel wallets linked to their unique identifier,0.88,
V9-02917,SYS.design,central services will operate to address various needs of the digital shekel system,0.87,
V9-02918,SYS.design,Alias is issued by a central mechanism and not dependent on the identity of the PSP,0.86,
V9-02921,SYS.design,system manager will define and enforce rules for connecting participants to the system,0.9,
V9-02924,SYS.design,Bank of Israel will define the structure of the Alias,0.72,
V9-02944,ADOPT.experience,usage costs to be negligible (similar to cash),0.85,
V9-02955,INTEROP.domestic,using the e-hryvnia of one Issuer in the networks of traders and/or agents on settlements of other Issuers,0.88,
V9-02970,SYS.design,system operator is responsible for the operation of the backend layer,0.9,
V9-02978,INTEROP.domestic,fully convertible with other forms of Dirham-denominated money,0.9,
V9-02979,INTEROP.crossborder,bilateral and multilateral CBDC arrangements to facilitate cross-border payments,0.97,
V9-02981,INTEROP.crossborder,participate in international projects on cross border CBDCs,0.96,
V9-02982,INTEROP.crossborder,Participation in international projects around cross border CBDCs,0.96,
V9-02987,CASH.relation,digital shekel will join other forms of money that already exist – cash,0.93,
V9-02991,INTEROP.domestic,"support connectivity to the RTGS system, as well as automatic liquidity management",0.92,
V9-02992,INTEROP.domestic,Funding and defunding processes by customers of an FI holding an account at the Bank of Israel RTGS system,0.95,
V9-02996,SYS.design,ASP will not be able to initiate a payment transaction in the end user's wallet,0.82,
V9-03000,SYS.design,multipurpose digital currency that caters to retail users such as households and businesses,0.8,
V9-03002,SYS.design,designed to serve end users – individuals and organisations who can hold balances in digital shekel wallets,0.8,evidence_not_verbatim
V9-03005,SYS.design,"government, through its various entities, will also be an end user and hold digital shekel wallet",0.75,
V9-03007,INTEROP.domestic,payments requiring final settlement,0.82,
V9-03008,SYS.design,will also meet the common definition of a wholesale CBDC,0.78,
V9-03012,SYS.design,takes into account a very wide range of users and use cases,0.62,
V9-03016,SYS.design,user can link multiple wallets to their unique identifier,0.8,
V9-03019,SYS.design,Each wallet can be linked to only one unique identifier,0.82,
V9-03020,SYS.design,PSPs can offer shared wallet functionality,0.78,
V9-03021,ADOPT.experience,allow end users to use their existing payment devices,0.83,
V9-03023,SYS.design,"secure container can operate: on the same device as the user interface, in the cloud",0.8,
V9-03024,SYS.design,backend layer will be indifferent to the type of access technology,0.78,
V9-03025,SYS.design,transactions in the digital shekel can be performed between any two access technologies,0.77,
V9-03026,ADOPT.experience,allow end users to use existing payment devices they already have,0.83,
V9-03027,INTEROP.domestic,Compatibility with the EMV protocol may be required,0.75,
V9-03031,INTEROP.domestic,fund or defund the wallet against private money in a payment account,0.88,
V9-03032,INTEROP.domestic,link an account with an FI to their digital shekel wallet to fund and defund,0.9,
V9-03033,INTEROP.domestic,"allow enable a ""waterfall"" or ""reverse waterfall"" mechanisms",0.82,
V9-03035,CASH.relation,fund or defund their digital shekel wallet against cash – at an ATM,0.82,
V9-03040,INTEROP.domestic,FI will debit the user's account with the funding amount,0.78,
V9-03046,SYS.design,private key of the court and that of the PSP would need to be presented to the settlement engine,0.72,
V9-03047,SYS.design,access technology can be exempt from supporting synchronous transactions with other access technologies,0.7,
V9-03048,SYS.design,Every combination of payment transactions between end users from all sectors will be supported,0.68,
V9-03049,ADOPT.experience,support very small and high-frequency payments,0.65,
V9-03051,SYS.design,support micropayments as well as very high-value payments,0.67,
V9-03052,SYS.design,Bank of Israel acts as an intermediary between the end user and the FI,0.72,
V9-03057,SYS.design,"transaction in the digital shekel will be immediate and final, with finality embedded both in the system design",0.75,
V9-03059,ADOPT.experience,"digital shekel will introduce new capabilities that do not currently exist, setting it apart from other means of payments",0.71,
V9-03060,INTEROP.domestic,interoperable with other payment systems domestically and internationally,0.62,
V9-03061,INTEROP.domestic,end users will be able to benefit from open banking services,0.73,
V9-03064,SYS.design,balance updates following a payment transaction are irreversible,0.74,
V9-03066,ADOPT.experience,display a clarification that the payment they are about to perform is final and irreversible,0.68,
V9-03067,CASH.relation,combine the maximum advantages of both cash and digital money,0.82,
V9-03068,ADOPT.experience,"immediate, final, and always-available payments at minimal to zero cost",0.72,
V9-03069,INTEROP.domestic,interoperability across four main dimensions – with other payment systems in Israel,0.62,
V9-03070,INTEROP.domestic,issuance/redemption of digital shekels will be reflected in a debit/credit of an FI account in the RTGS system,0.95,
V9-03071,CASH.relation,Funding and defunding a digital shekel wallet against cash will require connectivity,0.92,
V9-03072,INTEROP.domestic,payments from a digital shekel wallet to a payment account at a bank,0.93,
V9-03073,INTEROP.domestic,transfer funds from their digital shekel wallet to another party's bank account,0.93,
V9-03075,INTEROP.domestic,existing interface at the banks – based on the payment institution's identification code,0.88,
V9-03076,SYS.design,"identification code will be for the entire digital shekel system, allowing transfers to any wallet",0.78,
V9-03077,INTEROP.domestic,connectivity between the digital shekel system and MASAV will allow splitting these payments,0.92,
V9-03079,SYS.design,messages in the digital shekel system should conform to an international standard,0.82,
V9-03082,INTEROP.domestic,debit their digital shekel wallet for their card payments instead of their bank account,0.85,
V9-03083,INTEROP.domestic,credit their digital shekel wallet instead of their bank account,0.85,
V9-03084,INTEROP.domestic,load prepaid cards by transferring funds from their digital shekel wallet,0.82,
V9-03085,INTEROP.domestic,deposit physical checks into any digital shekel wallet instead of into a bank account,0.83,
V9-03106,SYS.design,"end user can open multiple wallets at the central database, with the PSP managing the hierarchy",0.88,
V9-03107,SYS.design,wallet status needs to be managed centrally,0.82,
V9-03110,INTEROP.domestic,"use existing infrastructures for bilateral communication, such as the open banking infrastructure",0.85,
V9-03118,SYS.design,Support for split payments (Split and Batch),0.78,
V9-03120,INTEROP.domestic,digital shekel will always be at par (1:1) with cash,0.88,
V9-03121,SYS.design,advanced functionalities will be accessible to all participants through the system manager,0.8,
V9-03122,SYS.design,additions to the core system's capabilities will be based on ecosystem needs,0.81,
V9-03130,SYS.design,only entity authorised to make any changes to the records in the main database is the system operator,0.87,
V9-03133,CASH.relation,mechanism for issuing digital shekels against cash,0.88,
V9-03135,SYS.design,transfer (and removal from circulation) of digital shekels from an end user's wallet,0.76,
V9-03136,CASH.relation,ATMs will hold an offline digital shekel wallet and allow cash withdrawals against offline digital shekels,0.92,
V9-03143,SYS.design,central wallet will be defined to represent the holdings of all users in offline digital shekel wallets,0.82,
V9-03144,SYS.design,offline digital shekel balance will be stored in the secure container,0.8,
V9-03146,ADOPT.experience,basic service without cost to the user in online digital shekels will also be free of charge,0.83,
V9-03147,CASH.relation,ATMs will enable funding offline digital shekels against cash,0.91,
V9-03156,SYS.design,structure of the payment message will be designed flexibly to allow for the inclusion of additional information,0.79,
V9-03159,SYS.design,"active communication' capabilities – independent communication, including a power source",0.72,
V9-03164,SYS.design,message can be transmitted through an external communication infrastructure,0.71,
V9-03165,SYS.design,"system will also support 'scheduled payments,' where the time between initiation and completion",0.74,
V9-03167,SYS.design,"system is designed and built to be scalable, with scalability achievable quickly",0.76,
V9-03174,SYS.design,payment message should comply with an accepted international standard,0.78,
V9-03177,OPS.resilience,Digital Shekel system will be available to end users 24 hours a day,0.88,
V9-03178,OPS.resilience,"Performance requirements will be consistent for all participants, ensuring optimal performance",0.75,evidence_not_verbatim
V9-03179,SYS.design,system will be designed with an emphasis on scalability to accommodate growth,0.74,
V9-03183,ADOPT.experience,cost of using the digital shekel for basic activities should be low to negligible,0.88,
V9-03186,SYS.design,Bank of Israel retains the option to charge various fees from participants,0.72,
V9-03202,ADOPT.experience,merchant fee for a simple payment transaction in the digital shekel will be lower,0.89,
V9-03204,ADOPT.experience,base layer model similar in nature to that existing in credit cards – a business fee,0.8,
V9-03226,OPS.resilience,system will be designated as critical national infrastructure and will comply with the standards of the National Cyber Directorate,0.93,
V9-03253,ACCESS.universal,digital shekel will be designed to be suitable for all populations,0.91,
V9-03257,SYS.design,ability of the digital shekel to function as a multi-purpose CBDC – meaning it can serve as both a retail CBDC and a wholesale CBDC,0.82,
V9-03271,SYS.design,operate as a financial system for immediate payments between end users,0.72,
V9-03292,SYS.design,provide flexibility and allow for the existence of the additional models,0.78,
V9-03297,SYS.design,"platform can operate in a ""stateless"" mode",0.75,
V9-03298,INTEROP.domestic,Open Banking APIs for communication between participants,0.8,
V9-03308,SYS.design,direct integration into the core system of the digital shekel,0.82,
V9-03310,SYS.design,"support the activity of numerous types of entities, and will require two types of communication",0.75,
V9-03314,SYS.design,"direct model is more efficient and, in theory, there remains only the question of how to settle accounts",0.77,
V9-03315,INTEROP.domestic,direct model cannot be implemented by settling accounts between the central bank and the commercial banks on the basis of the RTGS system,0.85,
V9-03317,SYS.design,Distribution model of the digital shekel – How will the digital shekels be distributed,0.83,
V9-03319,SYS.design,settlement of digital shekel payment transactions be carried out,0.82,
V9-03321,SYS.design,"offline solution which we have decided to relate to, at this stage of the project, as a kind of external component which will require interoperability",0.7,
V9-03322,STAB.disintermediation,Digital shekels represent a direct commitment of the central bank and therefore will likely be included in the liquidity buffer,0.81,
V9-03323,OPS.resilience,implications for the system's operational and technological complexity,0.65,
V9-03324,SYS.design,based on gross settlement and therefore require advance funding of a balance by the FIs,0.8,
V9-03326,OPS.resilience,digital shekel system will be required to support high transaction throughput,0.74,
V9-03328,INTEROP.domestic,solving interoperability issues between the wholesale and retail dimensions,0.85,
V9-03340,INTEROP.domestic,no direct technological connection between the Bank of Israel and the ATM switch,0.87,
V9-03361,SYS.design,centralized database in the digital shekel system can facilitate higher efficiency,0.72,
V9-03364,SYS.design,no dependency between updating of the end user's total balance and the ability to complete a subsequent settlement transaction,0.75,
V9-03365,SYS.design,handle multiple settlement transactions in parallel for a single user,0.74,
V9-03366,INTEROP.domestic,interoperability with the following: existing systems and infrastructure,0.78,
V9-03367,INTEROP.domestic,RTGS system will be used for settlement of accounts between the central bank and the FI,0.91,
V9-03369,INTEROP.domestic,"digital shekel system can serve as the central bank's multi-purpose digital currency, as well as an RTGS system",0.82,
V9-03372,SYS.design,Assigning an offline balance to each end user,0.7,
V9-03375,INTEROP.domestic,credit card will debit his digital shekel wallet rather than his bank account,0.8,
V9-03384,SYS.design,End-user balances are managed on the basis of a centralized database at the central bank,0.85,
V9-03386,SYS.design,payment providers manage a retail ledger for their customers,0.86,
V9-03394,INTEROP.domestic,"interoperability with at least the following systems: the ZAHAV system, the ATM switch, MASAV, SHVA",0.95,
V9-03399,SYS.design,"splitting the ""aggregated user account"" account-balance data in the intermediaries by dividing end users",0.76,
V9-03400,SYS.design,processing requests for CBDC transfers across intermediaries are currently designed as simultaneous account transfers,0.78,
V9-03401,SYS.design,ledger system in Designs 1 and 3 is only for the central bank,0.92,
V9-03406,SYS.design,clear distinction between the settlement engine and the broader database,0.91,
V9-03420,SYS.design,Designs 2 and 3 are at a disadvantage to Design 1 in terms of ease of implementing additional functions,0.85,
V9-03430,ADOPT.experience,overlay services related to domestic P2P and B2C fund transfers,0.82,evidence_not_verbatim
V9-03439,INTEROP.domestic,"Instant conversion between CBDC and other forms of money, such as bank deposits",0.95,
V9-03467,SYS.design,scheduled transaction management system that automatically activates transaction requests,0.88,
V9-03468,SYS.design,orchestration system was added as a facade to ensure data consistency between systems,0.92,
V9-03470,SYS.design,ledger system was not configured to have functions such as transaction record management,0.93,
V9-03477,SYS.design,connect them indirectly via a connection system that is independent of both systems,0.87,
V9-03479,SYS.design,"user accounts are managed in each intermediary's ledger, user limits and transaction record",0.9,
V9-03481,SYS.design,central bank's orchestration system will retain only the point-of-contact function as a facade,0.91,
V9-03489,OPS.resilience,add a digital signature from the central bank to the offline CBDC stored on the terminal,0.83,
V9-03503,SYS.design,ledger system perform as little processing as possible other than updating balances,0.92,
V9-03504,ACCESS.universal,promoting more inclusive access to regulated payments and formal financial services for underserved communities,0.95,
V9-03505,CASH.relation,"in addition to banknotes, a secure means of payment, easy to apply, accessible, with a legal tender",0.91,
V9-03508,SYS.design,guaranteed and less volatile alternative to private currencies,0.62,
V9-03509,ADOPT.experience,support for innovations in the fintech ecosystem,0.6,
V9-03510,OPS.resilience,contingency solution in the event of a failure in the banks' payment systems,0.92,
V9-03511,OPS.resilience,contingency aspect may gain increased importance if the payment infrastructure becomes more international,0.72,
V9-03512,ADOPT.experience,maintain competition between different means and instruments of payment,0.65,
V9-03513,ACCESS.universal,ensure the public access to a safe means of payment,0.82,
V9-03514,CASH.relation,introduce a legal tender on a par with cash,0.9,
V9-03516,SYS.design,"affirming the sovereignty of the national currency, ensuring the integrity and stability",0.6,
V9-03517,INTEROP.domestic,"establishment of a modern, dynamic and secure national payment system",0.72,
V9-03520,CASH.relation,"complementing banknotes, as a secure, easy-to-use, accessible means of payment with legal tender status",0.91,
V9-03521,ADOPT.experience,offer the advantages provided by private payment solutions,0.75,
V9-03529,CASH.relation,Norges Bank will issue cash as long as it is appropriate,0.93,
V9-03530,OPS.resilience,appropriate measure to remedy weaknesses that might otherwise arise,0.65,
V9-03531,OPS.resilience,independent contingency solution for the ordinary electronic payment systems,0.93,
V9-03532,STAB.disintermediation,Ensure access to credit-risk-free money,0.78,
V9-03533,ADOPT.experience,competition in the markets for means of payment,0.52,
V9-03535,STAB.disintermediation,not weaken the private sector's ability to provide credit,0.92,
V9-03536,OPS.resilience,operationally independent of the ordinary payment systems,0.82,
V9-03537,OPS.resilience,ensure national control if other payment infrastructure is moved outside Norway's borders,0.75,
V9-03538,CASH.relation,"supplement to cash, CBDC could ensure all properties that a legal tender should have",0.93,
V9-03540,CASH.relation,consideration of legal tender alone can justify introducing CBDC,0.82,
V9-03541,OPS.resilience,"independent contingency if confidence in the banking system weakens substantially, or electronic contingency solutions are insufficient",0.8,
V9-03544,OPS.resilience,independent contingency solution for the ordinary electronic payment systems,0.91,
V9-03545,OPS.resilience,technical independence from ordinary payment systems and national control,0.88,
V9-03546,OPS.resilience,not obviously necessary from a contingency perspective,0.85,
V9-03548,ACCESS.universal,ensure the public's access to a safe means of payment,0.72,
V9-03554,OTHER.keep,safe and efficient payment system and continued trust in the monetary system,0.55,
V9-03555,OPS.resilience,independent contingency/resilience - credit-risk-free alternative to bank deposits,0.62,
V9-03556,CASH.relation,supplement to cash to ensure that these properties are maintained,0.88,
V9-03558,SYS.design,possible positive additional property in the choice of design,0.62,
V9-03568,CASH.relation,good reasons to have legal tender,0.72,
V9-03571,STAB.disintermediation,independent contingency if confidence in the banking system weakens significantly,0.82,
V9-03572,ADOPT.experience,strengthen competition in the payments market,0.7,
V9-03573,SYS.design,well prepared to introduce CBDC if the payment system and means of payment develop,0.62,
V9-03574,SYS.design,Money in a Norwegian CBDC system shall be a claim on Norges Bank,0.88,
V9-03579,CASH.relation,CBDC shall be capable of functioning as legal tender,0.92,
V9-03581,SYS.design,payments with CBDC shall be immediate and final (finality),0.8,
V9-03584,CASH.relation,offering a legal tender,0.85,
V9-03591,ACCESS.universal,offline-based payment solutions without users being exposed to credit risk,0.72,
V9-03592,ADOPT.experience,payments between devices in the Internet of Things (IoT),0.74,
V9-03596,SYS.design,solution will have strong similarities to a full-reserve bank,0.85,
V9-03597,OPS.resilience,"requirements for scalability, availability, security, technology neutrality and adaptability",0.88,
V9-03598,OPS.resilience,DSP solution shall be independent of banks' electronic payment solutions,0.78,
V9-03602,CASH.relation,Must be able to function as legal tender,0.92,
V9-03603,SYS.design,Payments with DSP shall be immediate and final,0.8,
V9-03610,OPS.resilience,independent of the banks' payment infrastructure in the payment situation,0.62,
V9-03615,SYS.design,solution being expandable to an open solution,0.72,
V9-03639,SYS.design,register-based solution will require more development ... more robust for future development,0.7,evidence_not_verbatim
V9-03641,OTHER.keep,contribute as an instrument in monetary policy,0.75,
V9-03642,OPS.resilience,technically independent contingency solution,0.82,
V9-03645,STAB.disintermediation,use the account as a safe store of value,0.68,
V9-03646,INTEROP.domestic,transfer money independently of the banks' solutions between two persons,0.72,
V9-03651,SYS.design,main model and the alternative model have been chosen,0.65,
V9-03653,STAB.disintermediation,public and credit-risk-free alternative to deposits in private banks,0.85,
V9-03654,OPS.resilience,independent contingency solution for the ordinary electronic payment systems,0.88,
V9-03655,CASH.relation,"ensure a suitable legal tender, as a supplement to cash",0.87,
V9-03656,CASH.relation,CBDC may be an alternative to account money,0.78,
V9-03659,SYS.design,anyone or licensed actors can create user interfaces for managing DSP,0.74,
V9-03661,SYS.design,closed solution offered by Norges Bank or an entity controlled by Norges Bank,0.8,
V9-03664,ACCESS.universal,user is not dependent on a specific actor's interface to access DSP,0.72,
V9-03696,CASH.relation,supplement to cash – would entail offering an electronic claim,0.88,
V9-03699,ACCESS.universal,target group for a potential CBDC will primarily be the general public,0.82,
V9-03700,SYS.design,socioeconomic cost-benefit analysis. Key elements will be consequences for the payment system,0.72,
V9-03702,INTEROP.domestic,denominated in Norwegian kroner and be worth the same as other means of payment,0.85,
V9-03712,STAB.disintermediation,credit-risk-free alternative to deposit money,0.9,
V9-03713,OPS.resilience,independent contingency solution for the ordinary electronic payment systems,0.93,
V9-03726,STAB.disintermediation,"negative consequences for banks, financial stability and monetary policy implementation",0.91,
V9-03734,ADOPT.experience,need for some form of online banking for bill payments and other larger account-to-account payments,0.8,
V9-03735,ADOPT.experience,Payment cards and mobile payment applications may be suitable instruments,0.82,
V9-03743,SYS.design,"CBDC solution shall be scalable with changes in usage, considering number of users",0.78,
V9-03752,SYS.design,Funds held in the account system represent claims on Norges Bank and will be the central bank's liability,0.87,
V9-03761,SYS.design,Norges Bank shall have control over and primary responsibility for a possible Norwegian CBDC system,0.85,
V9-03787,CASH.relation,issuing CBDC denominated in kroner in parallel with banknotes and coins,0.9,
V9-03802,INTEROP.crossborder,not to the side of other currencies,0.86,
V9-03805,INTEROP.domestic,"interoperability that allows for atomic or ""near-atomic"" transactions on networks of regulated digital assets against the digital shekel",0.8,
V9-03816,SYS.design,ledger system handles data such as transaction records and upper limits,0.87,
V9-03817,SYS.design,"Try/Confirm/Cancel or ""TCC"" model) could potentially be adopted",0.82,
V9-03822,CASH.relation,"credit-risk-free alternative to deposit money, an independent contingency solution, and legal tender",0.78,
V9-03824,OPS.resilience,independent contingency if the ordinary electronic payment solutions fail,0.8,
V9-03825,ADOPT.experience,maintain or strengthen competition in the payment market,0.65,
V9-03826,CASH.relation,fulfil all the core properties of a legal tender,0.85,
V9-03827,CASH.relation,CBDC's function as a means of payment and payment system,0.72,
V9-03833,ADOPT.experience,wallet' applications on mobile phones) could offer simple and secure ways,0.85,
V9-03834,SYS.design,solutions that are flexible for various trade-offs and are robust,0.7,
V9-03835,STAB.disintermediation,CBDC must not significantly weaken the private sector's ability to extend credit,0.95,
V9-03838,SYS.design,Opening the CBDC register/account system to innovative solutions from other actors,0.78,
V9-03839,OPS.resilience,payment functions moving to new arenas and infrastructures weakening efficiency and security,0.75,
V9-03844,OPS.resilience,risks associated with money and payment functions moving to new arenas,0.72,
V9-03845,OTHER.keep,assessed against what can be achieved through regulation of privately owned payment systems,0.65,
V9-03847,INTEROP.domestic,applications and account infrastructure must not be designed to unnecessarily give Norwegian providers,0.68,
V9-03852,ACCESS.universal,must be available to a broad public,0.72,
V9-03853,INTEROP.domestic,compatible with various payment instruments and various payment situations,0.78,
V9-03854,ADOPT.experience,possible to pay with CBDC in 'physical' trade in goods and services,0.7,
V9-03859,CASH.relation,"function as legal tender, it must be universally and easily accessible",0.75,
V9-03862,CASH.relation,"two-way conversion obligation, i.e. that Norges Bank is obliged to convert cash to CBDC",0.92,
V9-03863,CASH.relation,holders of CBDC can demand conversion to cash while holders of cash cannot,0.93,
V9-03869,INTEROP.domestic,CBDC shall have par value (1:1) against bank deposits and against cash,0.9,
V9-03872,SYS.design,IT architecture that allows simple and accessible solutions to be offered,0.72,
V9-03899,INTEROP.domestic,CBDC infrastructure must facilitate payments being immediate,0.75,
V9-03910,OPS.resilience,"in an emergency situation, it is therefore important that CBDC must be available",0.8,
V9-03912,OPS.resilience,Norges Bank itself develops and operates a technically independent minimum solution,0.78,
V9-03934,ADOPT.experience,CBDC can function as a niche solution that fills particular payment needs,0.76,
V9-03935,ADOPT.experience,CBDC is facilitated for broader use from the very beginning,0.74,
V9-03936,ADOPT.experience,"CBDC should not only function as a niche solution, but also be facilitated for broader use",0.76,
V9-03953,SYS.design,CBDC system has a statistics module or at least a tool for extracting information,0.82,
V9-03976,ADOPT.experience,user is not locked into one user interface,0.72,
V9-04006,ADOPT.experience,pay with a card or other physical device,0.75,
V9-04022,SYS.design,technical infrastructure and regulatory framework that provides acceptable liability,0.65,
V9-04030,SYS.design,public core infrastructure and private innovation on top of this,0.78,
V9-04031,SYS.design,core infrastructure is built on established standards,0.74,
V9-04032,SYS.design,connect CBDC directly to public registers,0.7,
V9-04042,ACCESS.universal,technical independence and the possibility of offline payment,0.72,
V9-04055,OTHER.keep,not appropriate to maintain this distinction in the further validation,0.55,evidence_not_verbatim
V9-04080,INTEROP.domestic,ensure access to a means of settlement trusted by all,0.7,
V9-04085,OPS.resilience,precautionary approach to threats from new monetary and payment systems,0.62,
V9-04086,CASH.relation,"private money in NOK with attractive new functionality, ensuring access to a means of settlement",0.6,
V9-04088,SYS.design,not appropriate for Norges Bank itself to develop and maintain the core infrastructure,0.78,
V9-04091,INTEROP.domestic,"ensure access to a means of settlement that everyone trusts, also in new payment arenas",0.68,
V9-04100,SYS.design,CBDC to use several registries linked together through bridges,0.8,
V9-04101,SYS.design,"core infrastructure (primary registry/account system, arrangements for issuing, distributing and confiscation",0.85,
V9-04102,SYS.design,autonomous factor on the liabilities side of the central bank's balance sheet,0.72,
V9-04110,STAB.disintermediation,Liquidity management is likely to be more unpredictable,0.65,
V9-04121,INTEROP.domestic,converting privately issued money into a digital form of central bank money,0.82,
V9-04125,ACCESS.universal,"available to all individuals, communities and businesses",0.78,
V9-04126,SYS.design,support the value anchor role of central bank money,0.62,
V9-04127,CASH.relation,central bank money in physical and digital forms,0.85,
V9-04128,OPS.resilience,central bank money is resilient and fit for the future,0.7,
V9-04131,OTHER.keep,"only be made following consultation with the Government, the public",0.8,
V9-04133,OTHER.keep,policy discussion inform the technological design of a CBDC,0.75,
V9-04134,SYS.design,develop high-level design principles that a CBDC should achieve,0.72,
V9-04135,SYS.design,building a set of CBDC design principles based on the Reserve Bank's purpose,0.73,
V9-04136,OTHER.keep,public feedback to inform the detailed elements of any future CBDC design,0.7,
V9-04140,ACCESS.universal,addressing some barriers to both financial and digital inclusion,0.88,
V9-04141,INTEROP.domestic,improvements to domestic payments' efficiency and resilience,0.75,
V9-04142,INTEROP.crossborder,global initiatives that use CBDCs to improve cross-border payments,0.95,
V9-04144,SYS.design,platform for new payment services that use CBDC as the settlement asset,0.72,
V9-04146,SYS.design,Providing CBDC as a public good would set it apart from private digital monies,0.55,
V9-04147,ACCESS.universal,those who do not have easy access to cash or who choose not to use cash,0.85,
V9-04148,SYS.design,improve the technological form of central bank money to ensure it continued to be relevant,0.65,
V9-04149,INTEROP.domestic,providing instant electronic peer-to-peer settlement—a service that is currently not provided,0.78,
V9-04151,ACCESS.universal,"improve financial inclusion, e.g. to support the Safer Credit and Financial Inclusion Strategy",0.88,
V9-04153,OPS.resilience,"reliability, scalability, throughput and resilience of its existing systemically important payments",0.92,
V9-04155,SYS.design,open payments platform that achieves network efficiencies in money,0.75,
V9-04157,INTEROP.domestic,drive greater interoperability in retail service providers by enforcing common standards,0.82,
V9-04159,INTEROP.domestic,swapped for either cash or deposits in bank transaction accounts,0.78,
V9-04166,SYS.design,Improving the technological form and functionality of central bank money to ensure it remains relevant,0.65,
V9-04170,OPS.resilience,"providing a low-credit-risk form of payment, enhancing future resilience and having the potential to reduce the number of single points of failure",0.85,
V9-04171,INTEROP.crossborder,participate in global cross-border payment initiatives that involve exchanging CBDCs,0.97,
V9-04172,SYS.design,"avoids unnecessary disruption to the cash system, wider financial system and monetary policy settings",0.65,
V9-04173,OPS.resilience,low tolerance for system outages and down-times as existing systemically important payment infrastructure,0.96,
V9-04174,OPS.resilience,not be able to be 'double-spent' or fraudulently spent,0.82,
V9-04175,INTEROP.domestic,near-instant and legally final settlement,0.85,
V9-04177,INTEROP.domestic,exchanged 1:1 with cash and support the NZD as our single unit of account,0.88,
V9-04178,ACCESS.universal,"low-cost, basic saving and payments to all households, including those that are financially and digitally excluded",0.97,
V9-04179,ADOPT.experience,"be modern, be interoperable and drive innovation in New Zealand's money and payments ecosystem",0.72,
V9-04181,STAB.disintermediation,"avoids unnecessary disruption to the cash system, the wider financial system",0.78,
V9-04183,INTEROP.domestic,supports the continued use of the NZD as our unit of account,0.83,
V9-04185,INTEROP.domestic,supporting electronic peer-to-peer payments and near or instant settlement,0.84,
V9-04186,ADOPT.experience,"Drive innovation and cost efficiency for end users, including through competition",0.82,
V9-04187,INTEROP.crossborder,Support cross-border payments and be able to support low-cost remittances,0.98,
V9-04188,SYS.design,option of a new monetary policy tool,0.74,
V9-04190,SYS.design,current priority is to consider a general-purpose CBDC,0.82,
V9-04191,STAB.disintermediation,challenges to the stability of the interbank settlement system,0.87,
V9-04194,ACCESS.universal,adoption & inclusion as a focus area for designing a CBDC,0.85,
V9-04197,ADOPT.experience,spur efficiency and innovation by enabling greater competition in New Zealand's money and payments landscape,0.83,
V9-04198,OPS.resilience,"highly resilient, reliable and can scale to provide services",0.82,
V9-04199,SYS.design,technology considerations and operational changes that may arise for the RBNZ,0.72,
V9-04205,SYS.design,"operate as an 'innovation platform' offering a simple, easy-to-use set of regulatory, technical, data and cultural standards",0.75,evidence_not_verbatim
V9-04206,INTEROP.crossborder,other jurisdictions like Australia and the Pacific Island nations to support the flow of finance,0.85,
V9-04207,ADOPT.experience,"transfer between Fiat to CBDC, make payments and manage their CBDC easily",0.8,
V9-04213,SYS.design,"retaining regulatory control to meet RBNZ objectives, using one or a combination of: Targeted rules setter",0.78,
V9-04214,INTEROP.domestic,initial preference is interoperability with existing payments systems,0.92,
V9-04216,ADOPT.experience,providing a customer service to assist users who have problems recovering their funds,0.75,
V9-04217,SYS.design,"CBDC wallets collectively accessed and managed, for example, as part of a household/community, joint ownership",0.8,
V9-04218,SYS.design,Multiple wallets per user will support competition and innovation within the market,0.78,
V9-04219,SYS.design,a CBDC user can own multi-layered wallets,0.82,
V9-04221,SYS.design,"multi-layered wallets enable similar benefits. Typically, this approach would consist of a 'basic' layer",0.83,
V9-04227,ADOPT.experience,ensure wide adoption of CBDC without inhibiting organic innovation opportunities,0.8,
V9-04228,ADOPT.experience,spend/transfer/receive CBDC using a payment method at the point of interaction that meets their needs,0.83,
V9-04229,CASH.relation,CBDC will be interoperable with cash to ensure wide adoption and inclusion,0.88,
V9-04230,INTEROP.domestic,connect their CBDC wallets to other existing non-payments systems,0.72,
V9-04233,ACCESS.universal,developed with the highest possible levels of inclusion,0.88,
V9-04234,SYS.design,creating wallets in a hierarchy with multiple owners,0.78,
V9-04258,CASH.relation,used on a par with cash and non-cash rubles,0.87,
V9-04274,SYS.design,support proof of assets & liabilities for any future collateral purposes,0.62,
V9-04275,INTEROP.domestic,atomic settlement and Delivery vs Payment (DvP) features of a CBDC ecosystem,0.75,
